label,count
overall,291
camera,253
phone,137
performance,134
value_for_money,123
price,117
display,97
battery,89
design,71
phone_type,64
battery_life,59
gaming_performance,31
build_quality,30
features,23
camera_quality,20
sound_quality,17
quality,17
brand,16
budget_category,16
heat,15
ui,15
storage,14
product_name,13
software,13
usability,11
weight,11
ergonomics,10
charging_speed,10
sim_card_slot,9
ram,8
color,8
product_quality,7
selfie_camera,7
slimness,7
internal_components,7
previous_model_comparison,6
camera_settings,6
touchscreen,5
appearance,5
budget_phone,5
fingerprint_sensor,4
video_resolution,4
performance_issues,4
material_feel,4
notification_light,4
overall_value,4
connectivity,4
speakers,3
camera_performance,3
general_features,3
app_management,3
face_unlock,3
display_protection,3
accessories,3
charging_port,3
ai_features,3
signal_strength,3
launcher,2
speaker_quality,2
color_reproduction,2
slow_motion_video,2
crashing,2
durability,2
speaker,2
device_optimization,2
display_resolution,2
daily_use,2
compass,2
network,2
screen_ratio,2
segment,2
fm_radio,1
grip,1
call_quality,1
smudge_resistance,1
browsing,1
charging_indicator,1
issues,1
benchmark_score,1
low_light_photography,1
streaming,1
gcam_support,1
waterproof_feature,1
camera_dynamic_range,1
payment_issues,1
value_proposition,1
protective_layer,1
preinstalled_apps,1
device_segment,1
negative_aspects,1
product_category,1
app_issues,1
graphics,1
stability,1
competitor_comparison_music,1
outlook,1
button,1
options,1
product_update_comparison,1
software_performance,1
competitor_comparison,1
bluetooth,1
dual_sim,1
app_support,1
multimedia,1
model_comparison,1
condition,1
system_performance,1
product_model,1
